Bus Name,Stop Order,Stop Name,latitude,longitude
Al Madina Plus One,26,Kamalapur,23.7325123,90.4257424
Alif,1,Mirpur 14,23.7988425,90.3847119
Alif,2,Mirpur 10,23.8083649,90.3682614
Alif,3,Mirpur 2,23.8063402,90.35702594
Alif,4,Sony Cenema Hall,23.8004874,90.3553934
Alif,5,Mirpur 1,23.801924,90.3523456
Alif,6,Mazar Road,23.78953728,90.34819499
Alif,7,Konabari,24.01083,90.320936
Alif,8,Rupnagar,23.7153887,90.3777396
Alif,9,Beribadh,23.79770893,90.34687335
Alif,10,Birulia,23.8501655,90.3339337
Alif,11,Ashulia,23.8969898,90.3289577
Alif,12,Zirabo,23.90848403,90.29356844
Alif,13,Fantasy Kingdom,23.93427385,90.29148785
Alif,14,Nandan Park,24.0300592,90.239812
Alif,1,Shia Mosque,23.7620647,90.35912414
Alif,2,Japan Garden City,23.76370845,90.35820142
Alif,3,Adabor,23.7629379,90.3567682
Alif,4,Shyamoli,23.7775998,90.3601928
Alif,5,Shishu Mela,23.773007,90.3678804
Alif,6,Agargaon,23.7784275,90.3800503
Alif,7,chandrima udyan,23.766533,90.378693
Alif,8,Bijoy Sarani,23.7663936,90.3830971
Alif,9,Jahangir Gate,23.7752465,90.3903174
Alif,10,Mohakhali,23.7799893,90.40832417
Alif,11,Wireless,23.7496943,90.4082451
Alif,12,Gulshan 1,23.780553,90.4169
Alif,13,Badda Link Road,23.78058386,90.41997677
Alif,14,Madhya Badda,23.77654245,90.44630117
Alif,15,Merul,23.7718576,90.4250807
Alif,16,Rampura Bridge,23.76802955,90.42334025
Alif,17,Banasree,23.7617123,90.4312774
Alif,1,Mirpur 1,23.801924,90.3523456
Alif,2,Mirpur 2,23.8063402,90.35702594
Alif,3,Mirpur 10,23.8083649,90.3682614
Alif,4,Kazipara,23.7992408,90.3719878
Alif,5,Shewrapara,23.7909631,90.3755087
Alif,6,Agargaon,23.7784275,90.3800503
Alif,7,Bijoy Sarani,23.7663936,90.3830971
Alif,8,Jahangir Gate,23.7752465,90.3903174
Alif,9,Mohakhali,23.7799893,90.40832417
Alif,10,Wireless,23.7496943,90.4082451
Alif,11,Gulshan 1,23.780553,90.4169
Alif,12,Badda Link Road,23.78058386,90.41997677
Alif,13,Madhya Badda,23.77654245,90.44630117
Alif,14,Merul,23.7718576,90.4250807
Alif,15,Rampura Bridge,23.76802955,90.42334025
Alif,16,Banasree,23.7617123,90.4312774
Alif,1,Japan Garden City,23.76370845,90.35820142
Alif,2,Ring Road,23.77044991,90.35907324
Alif,3,Adabor,23.7629379,90.3567682
Alif,4,Shyamoli,23.7775998,90.3601928
Alif,5,Shishu Mela,23.773007,90.3678804
Alif,6,Agargaon,23.7784275,90.3800503
Alif,7,chandrima udyan,23.766533,90.378693
Alif,8,Bijoy Sarani,23.7663936,90.3830971
Alif,9,Old Airport,23.7715477,90.3892408
Alif,10,Jahangir Gate,23.7752465,90.3903174
Alif,11,Mohakhali,23.7799893,90.40832417
Alif,12,Chairman Bari,23.71096925,90.41095483
Alif,13,Sainik Club,23.79122995,90.399527
Alif,14,kakoli,23.77528145,90.36384035
Alif,15,Banani,23.790321,90.4076959
Alif,16,Staff Road,23.8127577,90.4016567
Alif,17,MES,23.9161376,90.2607105
Alif,18,Shewra,23.81799371,90.41360546
Alif,19,Kuril Bishwa Road,23.8212083,90.4195365
Alif,20,Khilkhet,23.8351324,90.43511207
Alif,21,Airport,23.8602996,90.39876
Alif,22,Jashimuddin (Uttara),23.8608721,90.4004138
Alif,23,Rajlakshmi,23.8644797,90.4002124
Alif,24,Azampur,23.8665496,90.4100105
Alif,25,House Building,23.8748268,90.4006897
Alif,26,Abdullahpur,23.5542881,90.473867
Anabil Super,1,Sign Board,23.7089323,90.3667608
Anabil Super,2,Shonir Akhra,23.7036614,90.4508803
Anabil Super,3,Jatrabari,23.7093978,90.433806
Anabil Super,4,Sayedabad,23.7108758,90.4278141
Anabil Super,5,Mugdapara,23.7291223,90.4335651
Anabil Super,6,Bashabo,23.7405474,90.4333478
Anabil Super,7,Khilgaon,23.7506546,90.4232818
Anabil Super,8,Malibagh Railgate,23.7496972,90.4126346
Anabil Super,9,Hazipara,23.8632798,90.4147242
Anabil Super,10,Rampura Bazar,23.7602428,90.4186208
Anabil Super,11,Rampura Bridge,23.76802955,90.42334025
Anabil Super,12,Merul,23.7718576,90.4250807
Anabil Super,13,Badda,23.77654245,90.44630117
Anabil Super,14,Uttar Badda,23.7857042,90.4256113
Anabil Super,15,Shahjadpur,23.7884856,90.4237741
Anabil Super,16,Bashtola -,23.79440473,90.42251274
Anabil Super,17,Notun Bazar,23.7982944,90.4239709
Anabil Super,18,Nadda,23.809823,90.4220557
Anabil Super,19,Bashundhara,23.8239025,90.4699552
Anabil Super,20,Jamuna Future Park,23.8135723,90.42402377
Anabil Super,21,Kuril Bishwa Road,23.8212083,90.4195365
Anabil Super,22,Khilkhet,23.8351324,90.43511207
Anabil Super,23,Airport,23.8602996,90.39876
Anabil Super,24,Jashimuddin (Uttara),23.8608721,90.4004138
Anabil Super,25,Rajlakshmi,23.8644797,90.4002124
Anabil Super,26,Azampur,23.8665496,90.4100105
Anabil Super,27,House Building,23.8748268,90.4006897
Anabil Super,28,Abdullahpur,23.5542881,90.473867
Anabil Super,29,Tongi,23.9084932,90.3980037
Anabil Super,30,Station Road,23.73221943,90.42409168
Anabil Super,31,Mill Gate,23.89620633,90.39942912
Anabil Super,32,Board Bazar,23.9452074,90.3825171
Anabil Super,33,Gazipur Bypass,23.9770994,90.3741474
Anabil Super,34,Gazipur Chourasta,23.9891057,90.3815747
Arnob,1,Hemayetpur,23.7931994,90.2714229
Arnob,2,Amin Bazar,23.7896155,90.3240987
Arnob,3,Gabtoli,23.6324042,90.48826063
Arnob,4,Technical,24.15329785,90.67259393
Arnob,5,Kallyanpur,23.7806848,90.3613321
Arnob,6,Shyamoli,23.7775998,90.3601928
Arnob,7,Shishu Mela,23.773007,90.3678804
Arnob,8,Agargaon,23.7784275,90.3800503
Arnob,9,chandrima udyan,23.766533,90.378693
Arnob,10,Bijoy Sarani,23.7663936,90.3830971
Arnob,11,Jahangir Gate,23.7752465,90.3903174
Arnob,12,Mohakhali,23.7799893,90.40832417
Arnob,13,Wireless,23.7496943,90.4082451
Arnob,14,Gulshan 1,23.780553,90.4169
Arnob,15,Badda Link Road,23.78058386,90.41997677
Arnob,16,Madhya Badda,23.77654245,90.44630117
Arnob,17,Merul,23.7718576,90.4250807
Arnob,18,Rampura Bridge,23.76802955,90.42334025
Arnob,19,Banasree,23.7617123,90.4312774
Arnob,20,Demra Staff Quarter,23.7197292,90.4905289
Ashirbad Pahibahan,1,Duaripara,23.8272661,90.3565405
Ashirbad Pahibahan,2,Rupnagar Abashik,23.7153887,90.3777396
Ashirbad Pahibahan,3,Shiyal Bari,23.8081946,90.3580172
Ashirbad Pahibahan,4,Proshika Moor,24.415524,90.6552503
Ashirbad Pahibahan,5,Mirpur 2,23.8063402,90.35702594
Ashirbad Pahibahan,6,Mirpur 1,23.801924,90.3523456
Ashirbad Pahibahan,7,Ansar Camp,23.7929307,90.3532421
Ashirbad Pahibahan,8,Technical,24.15329785,90.67259393
Ashirbad Pahibahan,9,Kallyanpur,23.7806848,90.3613321
Ashirbad Pahibahan,10,Shyamoli,23.7775998,90.3601928
Ashirbad Pahibahan,11,Shishu Mela,23.773007,90.3678804
Ashirbad Pahibahan,12,College Gate,23.7503675,90.4199166
Ashirbad Pahibahan,13,Asad Gate,23.7601299,90.3727245
Ashirbad Pahibahan,14,Dhanmondi 27,23.75404782,90.37137816
